,similar_clips,clip_id
285,[ 789 2370 2040   43  263  123  649  307 1004  230],207081708
286,[2254  383 2568 3684   79  212 1876  322 2751 3522],207466220
287,[1032 3866 3870 1733  312  644 3798 3467 3665 2683],207217234
288,[ 614 2544 1684 1028  194  537 1438  335  734  936],207288397
289,[ 914  329 1990   96 1489 2280 1962  183 2711  218],206713775
290,[ 874 2387 1671 3408 2022    5  376   53  988  395],205367277
291,[  80 2412  791 2673  209 2823 1310  997 1270 2341],204758229
292,[2112 2698 1114 3549 1328 3726    6  682 1424 3666],206329654
293,[ 160  342 1557  440  357 1556  124 3715   60  105],203914095
294,[ 121 1592  107 1921  649  263  376 1004  230  285],198442959
295,[ 817 1545 1636  804  528 3523 1111 1389 2430  540],205903497
296,[ 788  222 2118  942  375 1383  393  918 3510 2161],206111509
297,[1760 1220 1752  506 1207   69 3540 2768 1112 2933],203956723
298,[ 461 3598 1472 3276 3436  102 1180 2211    4  128],204756235
299,[ 517 3452  370  695 3510 2354 1273 3154 1483 1459],204906343
300,[ 999 1070  320  721  308 1683  922 1089  272 1079],205209634
301,[2382  105 1585 2322   90 3805 2683 2833 3492  689],205018000
302,[2548 1105 1325  799  934   83 3308 1564 1283  920],199615452
303,[1475 3771 3863    3 1474   92  353  205   46  254],204400073
304,[ 784 1340  741  615 1205  885 1668 1885 2183  335],182931935
305,[ 649  107  277 2281 1530 1004 2081  263  230  285],188075559
306,[2430 1928  374    6  576  357  517 1670 1233  963],201834586
307,[ 475  789   43  285  167  576 1025  905 1004  123],163330297
308,[ 480 1289  300 1089  999 1200 1313  721 1079  272],204167505
309,[ 145  678  469  991 1227  608 2016   90 2596  779],204150149
310,[ 585  453 3761 2462 1805 1909 1058  581  223   28],203689226
311,[2422 1402 1695 1648 1628  715 1873 1803 1001 2607],192147860
312,[1315  781  277 1025  717  757  411  345 1496  915],70163273
313,[1183  345  411  558  717  915 1315 1924 1496  127],203043980
314,[3386 3722 1346 3814  153 1184 2971 3768  229  938],188244587
